ontology,date,nodes,node_types,edges,edge_types
uberon,2025-05-28,16010,16016,49551,22
uberon,2025-04-09,15984,15990,49456,22
uberon,2025-01-15,15959,15965,50974,22
uberon,2024-11-25,15942,15948,50888,22
uberon,2024-09-03,15937,15943,50781,22
uberon,2024-08-07,15922,15928,50673,22
uberon,2024-07-02,15921,15927,50677,22
uberon,2024-05-13,15866,15872,49240,19
uberon,2024-03-22,15865,15872,49355,19
uberon,2024-02-20,15858,15862,38767,21
uberon,2024-01-18,15858,15862,38770,21
uberon,2023-12-08,15837,15841,38664,21
uberon,2023-10-27,15834,15838,38656,21
uberon,2023-09-05,15830,15834,38361,21
uberon,2023-07-25,15822,15826,38335,21
uberon,2023-06-28,15818,15822,38311,21
uberon,2023-05-23,15810,15814,38283,21
uberon,2023-04-19,15790,15794,38238,21
uberon,2023-03-15,15788,15792,37351,21
uberon,2023-02-14,15779,15783,37313,21
uberon,2023-01-09,15719,15723,36963,21
uberon,2022-12-13,15705,15709,36918,21
uberon,2022-09-30,15685,15687,36866,21
uberon,2022-08-19,15673,15675,36830,21
uberon,2022-06-30,15636,15638,36698,21
uberon,2022-06-20,15627,15629,36684,21
uberon,2022-05-27,15591,15593,36494,21
uberon,2022-05-17,15590,15592,34664,21
uberon,2022-04-18,15584,15586,34653,21
uberon,2022-04-05,15583,15585,34651,21
uberon,2022-02-21,15556,15558,34591,21
uberon,2021-11-28,15529,15531,34055,22
cell-ontology,2025-04-10,3171,3184,11407,15
cell-ontology,2025-02-13,3136,3148,11122,15
cell-ontology,2025-01-08,3122,3134,11069,15
cell-ontology,2024-09-26,3069,3080,10861,15
cell-ontology,2024-08-16,3035,3044,10560,15
cell-ontology,2024-07-10,3012,3021,10483,15
cell-ontology,2024-05-15,3007,3016,10486,14
cell-ontology,2024-04-05,3001,3010,10413,14
cell-ontology,2024-02-13,2994,3000,8953,14
cell-ontology,2024-01-04,2990,2996,8220,13
cell-ontology,2023-12-05,2989,2995,8225,13
cell-ontology,2023-10-19,2986,2992,8229,14
cell-ontology,2023-09-21,2972,2978,8145,14
cell-ontology,2023-08-24,2970,2976,8423,14
cell-ontology,2023-07-20,2964,2970,8420,13
cell-ontology,2023-06-22,2963,2969,8418,13
cell-ontology,2023-05-22,2943,2949,8342,13
cell-ontology,2023-04-20,2938,2944,8179,13
cell-ontology,2023-03-21,2924,2930,7945,13
cell-ontology,2023-02-19,2909,2913,7906,13
cell-ontology,2023-02-15,2909,2913,7906,13
cell-ontology,2023-01-09,2886,2890,7862,13
cell-ontology,2022-12-15,2871,2875,7830,13
cell-ontology,2022-11-25,2759,2763,7583,13
cell-ontology,2022-10-28,2757,2761,7553,13
cell-ontology,2022-09-15,2750,2754,7510,13
cell-ontology,2022-08-16,2745,2749,7485,13
cell-ontology,2022-06-18,2642,2646,5658,14
cell-ontology,2022-06-15,2642,2646,5658,14
cell-ontology,2022-02-16,2599,2604,5440,13
cell-ontology,2022-01-05,2595,2600,5429,12
cell-ontology,2021-12-16,2583,2585,5399,12
provisional-cell-ontology,2025-01-08,16980,25394,73125,7
provisional-cell-ontology,2024-07-12,3239,4715,10098,7
provisional-cell-ontology,2024-01-05,3241,4716,10101,7
provisional-cell-ontology,2023-02-23,2312,3258,6879,6
provisional-cell-ontology,2022-10-19,2312,3258,6879,6
provisional-cell-ontology,2022-09-02,2312,2364,6115,7
provisional-cell-ontology,2022-04-27,2312,2364,6115,7
provisional-cell-ontology,2022-03-02,2311,2363,6116,7
provisional-cell-ontology,2022-02-09,2594,2352,5613,7
provisional-cell-ontology,2022-02-02,2594,2352,5613,7
provisional-cell-ontology,2022-01-24,2594,2352,5613,7
provisional-cell-ontology,2022-01-19,1827,1880,5142,7
provisional-cell-ontology,2022-01-14,1827,1880,5142,7
provisional-cell-ontology,2022-01-07,1827,1880,5142,7
provisional-cell-ontology,2021-12-17,1825,1875,5132,6
provisional-cell-ontology,2021-12-08,1824,1873,5115,5
provisional-cell-ontology,2021-12-03,1824,1873,5115,5
provisional-cell-ontology,2021-11-24,1,2,1,1
