Date,Table,AS_valid_term_number,AS_invalid_term_number,CT_valid_term_number,CT_invalid_term_number
20211116,Blood,1,0,28,4
20211116,Bone-Marrow,1,0,44,11
20211116,Brain,122,63,0,127
20211116,Eye,30,2,37,22
20211116,Fallopian_tube,13,41,0,22
20211116,Heart,24,21,13,5
20211116,Kidney,58,7,47,16
20211116,Large_intestine,56,0,67,12
20211116,Liver,8,9,16,15
20211116,Lung,54,94,64,22
20211116,Lymph_node,32,2,37,43
20211116,Lymph_vasculature,3,1,1,0
20211116,Ovary,30,41,4,3
20211116,Pancreas,29,4,33,2
20211116,Peripheral_nervous_system,32,748,1,0
20211116,Skin,15,0,37,4
20211116,Small_intestine,16,20,3,46
20211116,Spleen,32,12,44,21
20211116,Thymus,17,0,32,17
20211116,Ureter,5,1,16,0
20211116,Urinary_bladder,16,0,0,16
20211116,Uterus,37,22,3,17
20211118,Blood,1,0,26,1
20211118,Blood_vasculature,365,391,2,0
20211118,Bone-Marrow,1,0,37,1
20211118,Brain,114,1,0,1
20211118,Eye,24,1,30,5
20211118,Fallopian_tube,12,1,0,1
20211118,Heart,27,24,17,1
20211118,Kidney,45,1,21,11
20211118,Knee,18,3,4,1
20211118,Large_intestine,54,0,54,1
20211118,Liver,8,1,8,1
20211118,Lung,53,89,34,13
20211118,Lymph_node,29,4,30,1
20211118,Lymph_vasculature,3,1,1,0
20211118,Ovary,21,2,2,1
20211118,Pancreas,27,2,26,1
20211118,Peripheral_nervous_system,32,749,1,0
20211118,Prostate,4,0,5,7
20211118,Skin,15,0,32,4
20211118,Small_intestine,20,7,3,1
20211118,Spleen,24,1,35,2
20211118,Thymus,17,0,35,5
20211118,Ureter,0,1,0,1
20211118,Urinary_bladder,16,0,0,1
20211118,Uterus,20,2,1,1
20211119,Blood,1,0,26,4
20211119,Blood_vasculature,365,397,2,0
20211119,Bone-Marrow,1,0,37,11
20211119,Brain,114,47,0,127
20211119,Eye,24,2,30,18
20211119,Fallopian_tube,12,38,0,22
20211119,Heart,27,24,18,5
20211119,Kidney,45,8,21,16
20211119,Knee,18,11,6,11
20211119,Large_intestine,54,0,54,3
20211119,Liver,8,9,24,6
20211119,Lung,54,89,37,22
20211119,Lymph_node,29,5,33,12
20211119,Lymph_vasculature,3,1,1,0
20211119,Ovary,21,40,3,3
20211119,Pancreas,27,2,26,6
20211119,Peripheral_nervous_system,32,277,1,0
20211119,Prostate,4,0,5,7
