Date,Table,AS_valid_term_number,AS_invalid_term_number,CT_valid_term_number,CT_invalid_term_number
20211119,Skin,15,0,32,4
20211119,Small_intestine,20,19,3,45
20211119,Spleen,24,14,40,20
20211119,Thymus,17,0,35,17
20211119,Ureter,6,1,3,11
20211119,Urinary_bladder,16,0,4,11
20211119,Uterus,20,29,1,18
20211210,Blood,1,0,26,4
20211210,Blood_vasculature,365,397,2,0
20211210,Bone-Marrow,1,0,37,11
20211210,Brain,116,45,0,127
20211210,Eye,24,2,30,18
20211210,Fallopian_tube,12,38,0,22
20211210,Heart,27,24,18,5
20211210,Kidney,56,6,47,15
20211210,Knee,18,11,6,11
20211210,Large_intestine,54,0,54,3
20211210,Liver,8,9,24,6
20211210,Lung,54,89,37,22
20211210,Lymph_node,29,5,33,12
20211210,Lymph_vasculature,3,1,1,0
20211210,Ovary,21,40,3,10
20211210,Pancreas,27,2,26,6
20211210,Peripheral_nervous_system,32,277,1,0
20211210,Prostate,4,0,5,7
20211210,Skin,15,0,32,4
20211210,Small_intestine,20,19,3,45
20211210,Spleen,24,14,40,20
20211210,Thymus,17,0,35,17
20211210,Ureter,6,1,3,11
20211210,Urinary_bladder,16,0,4,11
20211210,Uterus,20,29,1,18
20211217,Blood,1,0,26,4
20211217,Blood_vasculature,365,397,2,0
20211217,Bone-Marrow,1,0,37,11
20211217,Brain,116,45,0,127
20211217,Eye,24,2,30,18
20211217,Fallopian_tube,12,38,0,22
20211217,Heart,27,24,18,5
20211217,Kidney,56,6,47,15
20211217,Knee,18,12,6,18
20211217,Large_intestine,54,0,54,3
20211217,Liver,8,9,24,6
20211217,Lung,54,89,37,22
20211217,Lymph_node,29,5,33,12
20211217,Lymph_vasculature,3,1,1,0
20211217,Ovary,21,40,3,10
20211217,Pancreas,27,2,26,6
20211217,Peripheral_nervous_system,32,277,1,0
20211217,Prostate,4,0,5,7
20211217,Skin,15,0,32,4
20211217,Small_intestine,20,19,3,45
20211217,Spleen,24,14,40,20
20211217,Thymus,17,0,35,17
20211217,Ureter,6,1,3,11
20211217,Urinary_bladder,16,0,4,11
20211217,Uterus,20,29,1,18
20211220,Blood,1,0,26,4
20211220,Blood_vasculature,365,397,2,0
20211220,Bone-Marrow,1,0,37,11
20211220,Brain,116,45,0,127
20211220,Eye,24,2,30,18
20211220,Fallopian_tube,12,38,0,22
20211220,Heart,27,24,18,5
20211220,Kidney,56,6,47,15
20211220,Knee,18,12,6,18
20211220,Large_intestine,54,0,54,3
20211220,Liver,8,9,25,5
20211220,Lung,54,89,37,22
20211220,Lymph_node,29,5,33,12
20211220,Lymph_vasculature,3,1,1,0
20211220,Ovary,21,40,3,10
20211220,Pancreas,27,2,26,6
20211220,Peripheral_nervous_system,32,277,1,0
20211220,Prostate,4,0,5,7
20211220,Skin,15,0,32,4
20211220,Small_intestine,20,19,3,45
20211220,Spleen,24,14,40,19
20211220,Thymus,17,0,35,17
20211220,Ureter,6,1,3,11
20211220,Urinary_bladder,16,0,4,11
20211220,Uterus,20,29,1,18
20211221,Blood,1,0,26,4
20211221,Blood_vasculature,365,397,2,0
20211221,Bone-Marrow,1,0,37,11
20211221,Brain,116,45,0,127
20211221,Eye,24,2,30,18
20211221,Fallopian_tube,12,38,0,22
20211221,Heart,27,24,18,5
20211221,Kidney,56,6,47,15
20211221,Knee,18,12,6,18
20211221,Large_intestine,54,0,54,3
20211221,Liver,8,9,25,5
20211221,Lung,54,89,37,22
20211221,Lymph_node,29,5,33,12
20211221,Lymph_vasculature,3,1,1,0
20211221,Ovary,21,40,3,10
20211221,Pancreas,27,2,26,6
20211221,Peripheral_nervous_system,32,277,1,0
20211221,Prostate,4,0,5,7
20211221,Skin,15,0,32,4
20211221,Small_intestine,20,19,3,45
20211221,Spleen,24,14,40,19
20211221,Thymus,17,0,35,17
20211221,Ureter,6,1,3,11
20211221,Urinary_bladder,16,0,4,11
20211221,Uterus,20,29,1,18
20211227,Blood,1,0,26,4
20211227,Blood_vasculature,365,397,2,0
20211227,Bone-Marrow,1,0,37,11
20211227,Brain,116,45,0,127
20211227,Eye,24,2,30,18
20211227,Fallopian_tube,12,38,0,22
20211227,Heart,27,24,18,5
20211227,Kidney,56,6,47,15
20211227,Knee,18,12,6,18
20211227,Large_intestine,54,0,54,3
20211227,Liver,8,9,25,5
20211227,Lung,54,89,37,22
20211227,Lymph_node,29,5,33,12
20211227,Lymph_vasculature,3,1,1,0
20211227,Ovary,21,40,3,10
20211227,Pancreas,27,2,26,6
20211227,Peripheral_nervous_system,32,277,1,0
20211227,Prostate,4,0,5,7
20211227,Skin,15,0,32,4
20211227,Small_intestine,20,19,3,45
20211227,Spleen,24,14,40,19
20211227,Thymus,17,0,35,17
20211227,Ureter,6,1,3,11
20211227,Urinary_bladder,16,0,4,11
20211227,Uterus,20,29,1,18
20220103,Blood,1,0,26,4
20220103,Blood_vasculature,365,397,2,0
20220103,Bone-Marrow,1,0,37,11
20220103,Brain,116,45,0,127
20220103,Eye,24,2,30,18
20220103,Fallopian_tube,12,38,0,22
20220103,Heart,27,24,18,5
20220103,Kidney,56,6,47,15
20220103,Knee,18,12,6,18
20220103,Large_intestine,54,0,54,3
20220103,Liver,8,9,25,5
20220103,Lung,54,89,37,22
20220103,Lymph_node,29,5,33,12
20220103,Lymph_vasculature,3,1,1,0
20220103,Ovary,21,40,3,10
20220103,Pancreas,27,2,26,6
20220103,Peripheral_nervous_system,32,277,1,0
20220103,Prostate,4,0,5,7
20220103,Skin,15,0,32,4
20220103,Small_intestine,20,19,3,45
20220103,Spleen,24,14,40,19
20220103,Thymus,17,0,35,17
20220103,Ureter,6,1,3,11
20220103,Urinary_bladder,16,0,4,11
20220103,Uterus,20,29,1,18
20220110,Blood,1,0,26,4
20220110,Blood_vasculature,365,397,2,0
20220110,Bone-Marrow,1,0,37,11
20220110,Brain,116,45,0,127
20220110,Eye,24,2,30,18
20220110,Fallopian_tube,12,38,0,22
20220110,Heart,27,24,18,5
20220110,Kidney,56,6,47,15
20220110,Knee,18,12,6,18
20220110,Large_intestine,54,0,54,3
20220110,Liver,8,9,25,5
20220110,Lung,54,89,37,22
20220110,Lymph_node,29,5,33,12
20220110,Lymph_vasculature,3,1,1,0
20220110,Ovary,21,40,3,10
20220110,Pancreas,27,2,26,6
20220110,Peripheral_nervous_system,32,277,1,0
20220110,Prostate,4,0,5,7
20220110,Skin,15,0,32,4
20220110,Small_intestine,20,19,3,45
20220110,Spleen,24,14,40,19
20220110,Thymus,17,0,35,17
20220110,Ureter,6,1,3,11
20220110,Urinary_bladder,16,0,4,11
20220110,Uterus,20,29,1,18
20220111,Blood,1,0,26,4
20220111,Blood_vasculature,365,397,2,0
20220111,Bone-Marrow,1,0,37,11
20220111,Brain,116,45,0,127
20220111,Eye,24,2,30,18
20220111,Fallopian_tube,12,38,0,22
20220111,Heart,27,24,18,5
20220111,Kidney,56,6,47,15
20220111,Knee,18,12,6,18
20220111,Large_intestine,54,0,54,3
20220111,Liver,8,9,25,5
20220111,Lung,54,89,37,22
20220111,Lymph_node,29,5,33,12
20220111,Lymph_vasculature,3,1,1,0
20220111,Ovary,21,40,3,10
20220111,Pancreas,27,2,26,6
20220111,Peripheral_nervous_system,32,277,1,0
20220111,Prostate,4,0,5,7
20220111,Skin,15,0,32,4
20220111,Small_intestine,20,19,3,45
20220111,Spleen,24,14,40,19
20220111,Thymus,17,0,35,17
20220111,Ureter,6,1,3,11
20220111,Urinary_bladder,16,0,4,11
20220111,Uterus,20,29,1,18
20220117,Blood,1,0,26,4
20220117,Blood_vasculature,365,397,2,0
20220117,Bone-Marrow,1,0,37,11
20220117,Brain,116,45,0,127
20220117,Eye,24,2,30,18
20220117,Fallopian_tube,12,38,0,22
20220117,Heart,27,24,18,5
20220117,Kidney,56,6,47,15
20220117,Knee,18,12,6,18
20220117,Large_intestine,54,0,54,3
20220117,Liver,8,9,25,5
20220117,Lung,54,89,37,22
20220117,Lymph_node,29,5,33,12
20220117,Lymph_vasculature,3,1,1,0
20220117,Ovary,21,40,3,10
20220117,Pancreas,27,2,26,6
20220117,Peripheral_nervous_system,32,277,1,0
20220117,Prostate,4,0,5,7
20220117,Skin,15,0,32,4
20220117,Small_intestine,20,19,3,45
20220117,Spleen,24,14,40,19
20220117,Thymus,17,0,35,17
20220117,Ureter,6,1,3,11
20220117,Urinary_bladder,16,0,4,11
20220117,Uterus,20,29,1,18
20220124,Blood,1,0,26,4
20220124,Blood_vasculature,365,397,2,0
20220124,Bone-Marrow,1,0,37,11
20220124,Brain,116,45,0,127
20220124,Eye,24,2,30,18
20220124,Fallopian_tube,12,38,0,22
20220124,Heart,27,24,18,5
20220124,Kidney,56,6,47,15
20220124,Knee,18,12,6,18
20220124,Large_intestine,54,0,54,3
20220124,Liver,8,9,25,5
20220124,Lung,54,89,37,22
20220124,Lymph_node,29,5,33,12
20220124,Lymph_vasculature,3,1,1,0
20220124,Ovary,21,40,3,10
20220124,Pancreas,27,2,26,6
20220124,Peripheral_nervous_system,32,277,1,0
20220124,Prostate,4,0,5,7
20220124,Skin,15,0,32,4
20220124,Small_intestine,20,19,3,45
20220124,Spleen,24,14,40,19
20220124,Thymus,17,0,35,17
20220124,Ureter,6,1,3,11
20220124,Urinary_bladder,16,0,4,11
20220124,Uterus,20,29,1,18
20220209,Blood,1,0,26,4
20220209,Blood_vasculature,365,397,2,0
20220209,Bone-Marrow,1,0,37,11
20220209,Brain,116,45,0,127
20220209,Eye,24,2,30,18
20220209,Fallopian_tube,12,38,0,22
20220209,Heart,27,24,18,5
20220209,Kidney,56,6,47,15
20220209,Knee,18,12,6,18
20220209,Large_intestine,54,0,54,3
20220209,Liver,8,9,25,5
20220209,Lung,54,89,37,22
20220209,Lymph_node,29,5,33,12
20220209,Lymph_vasculature,3,1,1,0
20220209,Ovary,21,40,3,10
20220209,Pancreas,27,2,26,6
20220209,Peripheral_nervous_system,32,277,1,0
20220209,Prostate,4,0,5,7
20220209,Skin,15,0,32,4
20220209,Small_intestine,20,19,3,45
20220209,Spleen,24,14,40,19
20220209,Thymus,17,0,35,17
20220209,Ureter,6,1,3,11
20220209,Urinary_bladder,16,0,4,11
20220209,Uterus,20,29,1,18
20220214,Blood,1,0,26,4
20220214,Blood_vasculature,365,397,2,0
20220214,Bone-Marrow,1,0,37,11
20220214,Brain,116,45,0,127
20220214,Eye,24,2,30,18
20220214,Fallopian_tube,12,38,0,22
20220214,Heart,27,24,18,5
20220214,Kidney,56,6,47,15
20220214,Knee,18,12,6,18
20220214,Large_intestine,54,0,54,3
20220214,Liver,8,9,25,5
20220214,Lung,54,89,37,22
20220214,Lymph_node,29,5,33,12
20220214,Lymph_vasculature,3,1,1,0
20220214,Ovary,21,40,3,10
20220214,Pancreas,27,2,26,6
20220214,Peripheral_nervous_system,32,277,1,0
20220214,Prostate,4,0,5,7
20220214,Skin,15,0,32,4
20220214,Small_intestine,20,19,3,45
20220214,Spleen,24,14,40,19
20220214,Thymus,17,0,35,17
20220214,Ureter,6,1,3,11
20220214,Urinary_bladder,16,0,4,11
20220214,Uterus,20,29,1,18
20220221,Blood,1,0,26,4
20220221,Blood_vasculature,365,476,2,0
20220221,Bone-Marrow,1,0,37,11
20220221,Brain,116,61,0,127
20220221,Eye,24,2,30,23
20220221,Fallopian_tube,12,41,0,22
20220221,Heart,27,24,18,5
20220221,Kidney,56,6,47,15
20220221,Knee,18,15,6,24
20220221,Large_intestine,54,0,54,3
20220221,Liver,8,9,25,5
20220221,Lung,54,93,37,28
20220221,Lymph_node,29,5,33,12
20220221,Lymph_vasculature,3,1,1,0
20220221,Ovary,21,41,3,10
20220221,Pancreas,27,4,26,6
20220221,Peripheral_nervous_system,32,749,1,0
20220221,Prostate,4,0,5,7
20220221,Skin,15,0,32,4
20220221,Small_intestine,20,21,3,46
20220221,Spleen,24,14,40,19
20220221,Thymus,17,0,35,17
20220221,Ureter,6,1,3,11
20220221,Urinary_bladder,16,0,4,11
20220221,Uterus,20,34,1,18
20220228,Blood,1,0,26,4
20220228,Blood_vasculature,365,476,2,0
20220228,Bone-Marrow,1,0,37,11
20220228,Brain,116,61,0,127
20220228,Eye,24,2,30,23
20220228,Fallopian_tube,12,41,0,22
20220228,Heart,27,24,18,5
20220228,Kidney,56,6,47,15
20220228,Knee,18,15,6,24
20220228,Large_intestine,54,0,54,3
20220228,Liver,8,9,25,5
20220228,Lung,54,93,37,28
20220228,Lymph_node,29,5,33,12
20220228,Lymph_vasculature,3,1,1,0
20220228,Ovary,21,41,3,10
20220228,Pancreas,27,4,26,6
20220228,Peripheral_nervous_system,32,749,1,0
20220228,Prostate,4,0,5,7
20220228,Skin,15,0,32,4
20220228,Small_intestine,20,21,3,46
20220228,Spleen,24,14,40,19
20220228,Thymus,17,0,35,17
20220228,Ureter,6,1,3,11
20220228,Urinary_bladder,16,0,4,11
20220228,Uterus,20,34,1,18
20220308,Blood,1,0,26,4
20220308,Blood_vasculature,365,476,2,0
20220308,Bone-Marrow,1,0,37,11
20220308,Brain,116,61,0,127
20220308,Eye,24,2,30,23
20220308,Fallopian_tube,12,41,0,22
20220308,Heart,27,24,18,5
20220308,Kidney,56,6,47,15
20220308,Knee,18,15,6,24
20220308,Large_intestine,54,0,54,3
20220308,Liver,8,9,25,5
20220308,Lung,54,93,37,28
20220308,Lymph_node,29,5,33,12
20220308,Lymph_vasculature,3,1,1,0
20220308,Ovary,21,41,3,10
20220308,Pancreas,27,4,26,6
20220308,Peripheral_nervous_system,32,749,1,0
20220308,Prostate,4,0,5,7
20220308,Skin,15,0,32,4
20220308,Small_intestine,20,21,3,46
20220308,Spleen,24,14,40,19
20220308,Thymus,17,0,35,17
20220308,Ureter,6,1,3,11
20220308,Urinary_bladder,16,0,4,11
20220308,Uterus,20,34,1,18
20220314,Blood,1,0,26,4
20220314,Blood_vasculature,365,476,2,0
20220314,Bone-Marrow,1,0,37,11
20220314,Brain,116,61,0,127
20220314,Eye,24,2,31,23
20220314,Fallopian_tube,12,41,0,22
20220314,Heart,27,24,18,5
20220314,Kidney,56,6,47,15
20220314,Knee,22,10,0,35
20220314,Large_intestine,54,0,54,3
20220314,Liver,8,9,25,5
20220314,Lung,54,93,37,28
20220314,Lymph_node,29,5,33,12
20220314,Lymph_vasculature,3,1,1,0
20220314,Ovary,21,41,3,10
20220314,Pancreas,27,4,26,6
20220314,Peripheral_nervous_system,32,749,1,0
20220314,Prostate,4,0,5,7
20220314,Skin,15,0,32,4
20220314,Small_intestine,21,21,3,46
20220314,Spleen,24,14,40,19
20220314,Thymus,17,0,35,17
20220314,Ureter,6,1,3,11
20220314,Urinary_bladder,16,0,4,11
20220314,Uterus,22,34,1,18
20220321,Blood,1,0,26,4
20220321,Blood_vasculature,365,476,2,0
20220321,Bone-Marrow,1,0,37,11
20220321,Brain,116,61,0,127
20220321,Eye,24,2,31,23
20220321,Fallopian_tube,12,41,0,22
20220321,Heart,27,24,18,5
20220321,Kidney,56,6,47,15
20220321,Knee,22,10,0,35
20220321,Large_intestine,54,0,54,3
20220321,Liver,8,9,25,5
20220321,Lung,54,93,37,28
20220321,Lymph_node,29,5,33,12
20220321,Lymph_vasculature,3,1,1,0
20220321,Ovary,21,41,3,10
20220321,Pancreas,27,4,26,6
20220321,Peripheral_nervous_system,32,749,1,0
20220321,Prostate,4,0,5,7
20220321,Skin,15,0,32,4
20220321,Small_intestine,21,21,3,46
20220321,Spleen,24,14,40,19
20220321,Thymus,17,0,35,17
20220321,Ureter,6,1,3,11
20220321,Urinary_bladder,16,0,4,11
20220321,Uterus,22,34,1,18
20220328,Blood,1,0,26,4
20220328,Blood_vasculature,365,476,2,0
20220328,Bone-Marrow,1,0,37,11
20220328,Brain,116,61,0,127
20220328,Eye,24,2,31,23
20220328,Fallopian_tube,12,41,0,22
20220328,Heart,27,24,18,5
20220328,Kidney,56,6,47,15
20220328,Knee,22,10,0,35
20220328,Large_intestine,54,0,54,3
20220328,Liver,8,9,25,5
20220328,Lung,54,93,37,28
20220328,Lymph_node,29,5,33,12
20220328,Lymph_vasculature,3,1,1,0
20220328,Ovary,21,41,3,10
20220328,Pancreas,27,4,26,6
20220328,Peripheral_nervous_system,32,749,1,0
20220328,Prostate,4,0,5,7
20220328,Skin,15,0,32,4
20220328,Small_intestine,21,21,3,46
20220328,Spleen,24,14,40,19
20220328,Thymus,17,0,35,17
20220328,Ureter,6,1,3,11
20220328,Urinary_bladder,16,0,4,11
20220328,Uterus,22,34,1,18
20220404,Blood,1,0,26,4
20220404,Blood,1,0,26,4
20220404,Blood_vasculature,365,476,2,0
20220404,Blood_vasculature,377,541,10,0
20220404,Bone-Marrow,1,0,37,11
20220404,Bone-Marrow,1,0,37,11
20220404,Brain,116,61,0,127
20220404,Brain,116,61,0,127
20220404,Eye,24,2,31,23
20220404,Eye,24,2,31,23
20220404,Fallopian_tube,12,41,0,22
20220404,Fallopian_tube,12,41,0,22
20220404,Heart,27,24,18,5
20220404,Heart,27,24,18,5
20220404,Kidney,56,6,47,15
20220404,Kidney,56,6,47,15
20220404,Knee,22,10,0,35
20220404,Knee,24,8,0,34
20220404,Large_intestine,54,0,54,3
20220404,Large_intestine,54,0,54,3
20220404,Liver,8,9,25,5
20220404,Liver,8,9,25,5
20220404,Lung,54,93,37,28
20220404,Lung,54,95,37,28
20220404,Lymph_node,29,5,33,12
20220404,Lymph_node,29,5,33,12
20220404,Lymph_vasculature,3,1,1,0
20220404,Lymph_vasculature,13,18,1,0
20220404,Ovary,21,41,3,10
20220404,Ovary,21,41,3,10
20220404,Pancreas,27,4,26,6
20220404,Pancreas,27,4,26,6
20220404,Peripheral_nervous_system,32,749,1,0
20220404,Peripheral_nervous_system,32,749,1,0
20220404,Placenta,5,3,6,10
20220404,Prostate,4,0,5,7
20220404,Prostate,4,0,5,7
20220404,Skin,15,0,32,4
20220404,Skin,15,0,32,4
20220404,Small_intestine,21,21,3,46
20220404,Small_intestine,21,21,3,46
20220404,Spinal_Cord,6,1,3,11
20220404,Spleen,24,14,40,19
20220404,Spleen,24,14,40,19
20220404,Thymus,17,0,35,17
20220404,Thymus,17,0,41,12
20220404,Ureter,6,1,3,11
20220404,Ureter,6,1,3,11
20220404,Urinary_bladder,16,0,4,11
20220404,Urinary_bladder,16,0,4,11
20220404,Uterus,22,34,1,18
20220404,Uterus,23,34,1,18
20220405,Blood,1,0,26,4
20220405,Blood_vasculature,365,476,2,0
20220405,Bone-Marrow,1,0,37,11
20220405,Brain,116,61,0,127
20220405,Eye,24,2,31,23
20220405,Fallopian_tube,12,41,0,22
20220405,Heart,27,24,18,5
20220405,Kidney,56,6,47,15
20220405,Knee,22,10,0,35
20220405,Large_intestine,54,0,54,3
20220405,Liver,8,9,25,5
20220405,Lung,54,93,37,28
20220405,Lymph_node,29,5,33,12
20220405,Lymph_vasculature,3,1,1,0
20220405,Ovary,21,41,3,10
20220405,Pancreas,27,4,26,6
20220405,Peripheral_nervous_system,32,749,1,0
20220405,Prostate,4,0,5,7
20220405,Skin,15,0,32,4
20220405,Small_intestine,21,21,3,46
20220405,Spleen,24,14,40,19
20220405,Thymus,17,0,35,17
20220405,Ureter,6,1,3,11
20220405,Urinary_bladder,16,0,4,11
20220405,Uterus,22,34,1,18
20220411,Blood,1,0,26,4
20220411,Blood_vasculature,365,476,2,0
20220411,Bone-Marrow,1,0,37,11
20220411,Brain,116,61,0,127
20220411,Eye,24,2,31,23
20220411,Fallopian_tube,12,41,0,22
20220411,Heart,27,24,18,5
20220411,Kidney,56,6,47,15
20220411,Knee,22,10,0,35
20220411,Large_intestine,54,0,54,3
20220411,Liver,8,9,25,5
20220411,Lung,54,93,37,28
20220411,Lymph_node,29,5,33,12
20220411,Lymph_vasculature,3,1,1,0
20220411,Ovary,21,41,3,10
20220411,Pancreas,27,4,26,6
20220411,Peripheral_nervous_system,32,749,1,0
20220411,Prostate,4,0,5,7
20220411,Skin,15,0,32,4
20220411,Small_intestine,21,21,3,46
20220411,Spleen,24,14,40,19
20220411,Thymus,17,0,35,17
20220411,Ureter,6,1,3,11
20220411,Urinary_bladder,16,0,4,11
20220411,Uterus,22,34,1,18
20220414,Blood,1,0,26,4
20220414,Blood_vasculature,377,541,10,0
20220414,Bone-Marrow,1,0,37,11
20220414,Brain,116,61,0,127
20220414,Eye,24,2,31,23
20220414,Fallopian_tube,9,63,0,18
20220414,Heart,27,24,18,5
20220414,Kidney,56,6,47,15
20220414,Knee,24,8,0,34
20220414,Large_intestine,54,0,54,3
20220414,Liver,8,9,25,5
20220414,Lung,54,95,37,28
20220414,Lymph_node,29,5,33,12
20220414,Lymph_vasculature,13,18,1,0
20220414,Ovary,21,41,3,10
20220414,Pancreas,27,4,26,6
20220414,Peripheral_nervous_system,32,749,1,0
20220414,Placenta,5,3,6,10
20220414,Prostate,4,0,5,7
20220414,Skin,15,0,33,3
20220414,Small_intestine,21,21,3,46
20220414,Spinal_Cord,6,1,3,11
20220414,Spleen,24,14,40,19
20220414,Thymus,17,0,41,12
20220414,Ureter,6,1,3,11
20220414,Urinary_bladder,16,0,4,11
20220414,Uterus,23,34,1,18
20220419,Blood,1,0,26,4
20220419,Blood_vasculature,365,476,2,0
20220419,Bone-Marrow,1,0,37,11
20220419,Brain,116,61,0,127
20220419,Eye,24,2,31,23
20220419,Fallopian_tube,12,41,0,22
20220419,Heart,27,24,18,5
20220419,Kidney,56,6,47,15
20220419,Knee,22,10,0,35
20220419,Large_intestine,54,0,54,3
20220419,Liver,8,9,25,5
20220419,Lung,54,93,37,28
20220419,Lymph_node,29,5,33,12
20220419,Lymph_vasculature,3,1,1,0
20220419,Ovary,21,41,3,10
20220419,Pancreas,27,4,26,6
20220419,Peripheral_nervous_system,32,749,1,0
20220419,Prostate,4,0,5,7
20220419,Skin,15,0,32,4
20220419,Small_intestine,21,21,3,46
20220419,Spleen,24,14,40,19
20220419,Thymus,17,0,35,17
20220419,Ureter,6,1,3,11
20220419,Urinary_bladder,16,0,4,11
20220419,Uterus,22,34,1,18
20220425,Blood,1,0,26,4
20220425,Blood_vasculature,365,476,2,0
20220425,Bone-Marrow,1,0,37,11
20220425,Brain,116,61,0,127
20220425,Eye,24,2,31,23
20220425,Fallopian_tube,12,41,0,22
20220425,Heart,27,24,18,5
20220425,Kidney,56,6,47,15
20220425,Knee,22,10,0,35
20220425,Large_intestine,54,0,54,3
20220425,Liver,8,9,25,5
20220425,Lung,54,93,37,28
20220425,Lymph_node,29,5,33,12
20220425,Lymph_vasculature,3,1,1,0
20220425,Ovary,21,41,3,10
20220425,Pancreas,27,4,26,6
20220425,Peripheral_nervous_system,32,749,1,0
20220425,Prostate,4,0,5,7
20220425,Skin,15,0,32,4
20220425,Small_intestine,21,21,3,46
20220425,Spleen,24,14,40,19
20220425,Thymus,17,0,35,17
20220425,Ureter,6,1,3,11
20220425,Urinary_bladder,16,0,4,11
20220425,Uterus,22,34,1,18
20220502,Blood,1,0,26,4
20220502,Blood_vasculature,365,476,2,0
20220502,Bone-Marrow,1,0,37,11
20220502,Brain,116,61,0,127
20220502,Eye,24,2,31,23
20220502,Fallopian_tube,12,41,0,22
20220502,Heart,27,24,18,5
20220502,Kidney,56,6,47,15
20220502,Knee,22,10,0,35
20220502,Large_intestine,54,0,54,3
20220502,Liver,8,9,25,5
20220502,Lung,54,93,37,28
20220502,Lymph_node,29,5,33,12
20220502,Lymph_vasculature,3,1,1,0
20220502,Ovary,21,41,3,10
20220502,Pancreas,27,4,26,6
20220502,Peripheral_nervous_system,32,749,1,0
20220502,Prostate,4,0,5,7
20220502,Skin,15,0,32,4
20220502,Small_intestine,21,21,3,46
20220502,Spleen,24,14,40,19
20220502,Thymus,17,0,35,17
20220502,Ureter,6,1,3,11
20220502,Urinary_bladder,16,0,4,11
20220502,Uterus,22,34,1,18
20220509,Blood,1,0,26,4
20220509,Blood_vasculature,377,541,10,0
20220509,Bone-Marrow,1,0,37,11
20220509,Brain,116,61,0,127
20220509,Eye,24,2,30,23
20220509,Fallopian_tube,9,63,0,18
20220509,Heart,27,24,18,5
20220509,Kidney,50,10,47,19
20220509,Knee,24,8,13,12
20220509,Large_intestine,54,0,54,3
20220509,Liver,8,9,25,5
20220509,Lung,63,12,59,16
20220509,Lymph_node,29,5,33,12
20220509,Lymph_vasculature,13,18,1,0
20220509,Ovary,22,47,2,14
20220509,Pancreas,27,4,26,6
20220509,Peripheral_nervous_system,32,749,1,0
20220509,Placenta,5,3,6,10
20220509,Prostate,4,0,5,7
20220509,Skin,15,0,33,3
20220509,Small_intestine,21,21,3,46
20220509,Spinal_Cord,6,1,3,11
20220509,Spleen,24,14,40,19
20220509,Thymus,17,0,41,12
20220509,Ureter,10,1,3,11
20220509,Urinary_bladder,16,0,4,11
20220509,Uterus,22,36,0,18
20220525,Blood,1,0,26,4
20220525,Blood_vasculature,377,541,10,0
20220525,Bone-Marrow,1,0,37,11
20220525,Brain,116,61,1,126
20220525,Eye,24,2,30,23
20220525,Fallopian_tube,9,63,0,18
20220525,Heart,27,24,18,5
20220525,Kidney,51,7,62,5
20220525,Knee,24,8,13,12
20220525,Large_intestine,54,0,54,3
20220525,Liver,8,9,25,5
20220525,Lung,63,12,59,16
20220525,Lymph_node,29,5,33,12
20220525,Lymph_vasculature,13,18,1,0
20220525,Ovary,22,47,2,14
